keys,en,ja
CARD_EBP01-067_DESC,<Awakening4> This card gains +3000 counter power. (Active if your monster card is in zone 4 or beyond.),<覚醒４>これの撃退力＋3000。（あなたの怪獣カードがエリア４以降にいるなら有効）
CARD_EBP01-068_NAME,Manda(1968),マンダ(1968)
CARD_EBP01-068_DESC,"If this card is in a zone adjacent to your monster card, this card gains +3000 counter power.",これがあなたの怪獣カードの隣接エリアにいるなら、撃退力＋3000。
CARD_EBP01-069_NAME,Varan,バラン
CARD_EBP01-069_DESC,"<Awakening6> <Enter> Draw 2 cards, then discard 2 cards. (Active if your monster card is in zone 6 or beyond.)",<覚醒６><出現時>あなたは２枚引いて手札を２枚捨てる。（あなたの怪獣カードがエリア６以降にいるなら有効）
CARD_EBP01-070_NAME,Baragon(1968),バラゴン(1968)
CARD_EBP01-070_DESC,<Enter> Look at the top card of your deck. You may send it to your discard pile or place it back on top of your deck.,<出現時>あなたの山札を上から１枚見て、それを捨て札にするか山札の上に置く。
CARD_EBP01-071_NAME,Giant Condor,大コンドル
CARD_EBP01-071_DESC,"If this card is in the same column as your opponent's monster card, this card gains +5000 counter power.
When your opponent's <Rage> is increased, <Destroy> this card.","これが相手の怪獣カードと同じ縦列にいるなら、撃退力＋5000。
相手の<怒り>が増えた時、これを<破壊>する。"
CARD_EBP01-072_NAME,Gigan(2022),ガイガン(2022)
CARD_EBP01-072_DESC,"<Enter> If this card is in the same column as your opponent's monster card, send the top card of your deck to your discard pile. If it is a battle card, move your opponent's monster card with 50,000 or lower threat level backward by 1 zone.",<出現時>これが相手の怪獣カードと同じ縦列にいるなら、あなたの山札を上から１枚捨て札にする。それが交戦カードなら、相手の脅威度50000以下の怪獣カードを１エリア後退させる。
CARD_EBP01-073_NAME,Godzilla Against Mechagodzilla,ゴジラ×メカゴジラ
CARD_EBP01-073_DESC,"This card cannot be played if you have 7 or fewer monster cards in your discard pile.
When your monster card invades, if there are no monster cards under this card, you may place 1 monster card from your discard pile under this card to set your opponent's <Rage> to 0.","あなたの捨て札の怪獣カードが７枚以下ではこれは出現できない。
あなたの怪獣カードが進攻した時、これの下に怪獣カードがないなら、あなたの捨て札から怪獣カードを１枚これの下に重ねることで、相手の<怒り>を０にする。"
CARD_EBP01-074_NAME,King Ghidorah(2024),キングギドラ(2024)
CARD_EBP01-074_DESC,"If you have a card named ãGravity Beamã in play, this card gains +20,000 counter power.",あなたの「引力光線」が置かれているなら、これの撃退力＋20000。
CARD_EBP01-075_NAME,"Godzilla, King of the Monsters",怪獣王ゴジラ
CARD_EBP01-075_DESC,"This card gains +3000 counter power for each of your monster card's <Rage> .
If your monster card has 3 or more <Rage> , and this card is in zones 1-5, this card cannot be <Destroy> by your opponent's effects.
<Awakening8> You can play this card with its rank reduced by 4. (Active if your monster card is in zone 8. After being played, this card is rank 8.)","あなたの怪獣カードの<怒り>１につき、これの撃退力＋3000。
あなたの怪獣カードの<怒り>が３以上で、これがエリア１～５にいるなら、これは相手の効果で<破壊>されない。
<覚醒８>等級を－４して手札から出現できる。（あなたの怪獣カードがエリア８にいるなら有効。出現後は等級８）"
CARD_EBP01-076_NAME,Destroy All Monsters,怪獣総進撃
CARD_EBP01-076_DESC,"When your monster card invades this turn, <Destroy> 1 of your opponent's battle cards.",このターンあなたの怪獣カードが進攻していたら、相手の交戦カードを１枚<破壊>する。
CARD_EBP01-077_NAME,Oxygen Destroyer,オキシジェン・デストロイヤー
CARD_EBP01-077_DESC,"If your opponent has 2 or fewer <Rage> , move your opponent's monster card as though it were countered. (Do not play the next monster card from your monster deck.)",相手の<怒り>が２以下なら、相手の怪獣カードを撃退したかのように移動させる。
CARD_EBP01-078_NAME,Godzilla Attacks,ゴジラ襲来
CARD_EBP01-078_DESC,Advance your monster card to zone 6.,あなたの怪獣カードをエリア６まで前進させる。
CARD_EBP01-079_NAME,Gravity Beam,引力光線
CARD_EBP01-079_DESC,Your opponent discards cards until they have 3 cards remaining in their hand.,相手は自分の手札を３枚になるよう捨てる。
CARD_EBP01-080_NAME,Godzilla and its son on Monster Island,怪獣島のゴジラ親子
CARD_EBP01-080_DESC,"If your opponent has a strategy card in play, you can play this from your hand with its rank reduced by 2.
While this card is in the strategy zone, your rank 5 or lower battle cards in zones 1-5 cannot be <Destroy> by your opponent's effects.","相手が戦略カードを置いているなら、等級を－２して手札から発動できる。
これが戦略カード置き場にある間、あなたのエリア１～５にいる等級５以下の交戦カードすべては相手の効果で<破壊>されない。"
CARD_EBP02-001_NAME,Giant Unknown Creature,巨大不明生物
